degree,essay_text_len,clevel,gen,sgroup,test_preparation
87,874,Beginner Level,Male,ClassB,1
84,0,Beginner Level,Male,ClassB,1
50,504,Intermediate Level,Male,ClassB,0
83,837,Intermediate Level,Male,ClassB,1
85,0,Expert Level,Male,ClassB,1
89,896,Beginner Level,Male,ClassB,1
83,835,Intermediate Level,Male,ClassD,1
54,546,Intermediate Level,Male,ClassD,0
76,764,Beginner Level,Male,ClassD,0
61,0,Intermediate Level,Male,ClassD,0
85,0,Beginner Level,Male,ClassD,1
89,0,Beginner Level,Male,ClassD,1
67,676,Intermediate Level,Male,ClassD,0
87,0,Intermediate Level,Male,ClassD,1
89,0,Expert Level,Male,ClassD,1
62,0,Beginner Level,Male,ClassD,0
71,713,Intermediate Level,Female,ClassC,0
86,864,Intermediate Level,Female,ClassC,1
72,727,Beginner Level,Female,ClassC,0
66,0,Intermediate Level,Female,ClassC,0
68,0,Beginner Level,Female,ClassC,0
65,654,Beginner Level,Female,ClassC,0
88,0,Intermediate Level,Female,ClassC,1
73,734,Intermediate Level,Female,ClassC,0
70,0,Expert Level,Female,ClassC,0
74,744,Beginner Level,Female,ClassC,0
82,822,Intermediate Level,Male,ClassB,1
51,0,Intermediate Level,Male,ClassB,0
75,754,Beginner Level,Male,ClassB,0
71,0,Intermediate Level,Male,ClassB,0
85,857,Beginner Level,Male,ClassB,1
82,0,Beginner Level,Male,ClassB,1
83,835,Intermediate Level,Male,ClassB,1
57,573,Intermediate Level,Male,ClassB,0
75,756,Expert Level,Male,ClassB,0
91,915,Beginner Level,Male,ClassB,1
64,0,Intermediate Level,Male,ClassA,0
58,0,Intermediate Level,Male,ClassA,0
73,0,Beginner Level,Male,ClassA,0
84,843,Intermediate Level,Male,ClassA,1
48,486,Beginner Level,Male,ClassA,0
60,603,Beginner Level,Male,ClassA,0
60,0,Intermediate Level,Male,ClassA,0
67,0,Intermediate Level,Male,ClassA,0
49,0,Expert Level,Male,ClassA,0
47,0,Beginner Level,Male,ClassA,0
80,0,Intermediate Level,Female,ClassD,0
50,503,Intermediate Level,Female,ClassD,0
96,0,Beginner Level,Female,ClassD,1
71,713,Intermediate Level,Female,ClassD,0
83,834,Beginner Level,Female,ClassD,1
63,635,Beginner Level,Female,ClassD,0
74,743,Intermediate Level,Female,ClassD,0
98,985,Intermediate Level,Female,ClassD,1
75,754,Expert Level,Female,ClassD,0
57,575,Beginner Level,Female,ClassD,0
57,0,Intermediate Level,Female,ClassD,0
73,735,Intermediate Level,Female,ClassD,0
75,0,Beginner Level,Female,ClassD,0
52,527,Intermediate Level,Female,ClassD,0
80,806,Beginner Level,Female,ClassD,0
59,0,Beginner Level,Female,ClassD,0
65,0,Intermediate Level,Female,ClassD,0
56,563,Intermediate Level,Female,ClassD,0
85,0,Expert Level,Female,ClassD,1
53,534,Beginner Level,Female,ClassD,0
78,786,Intermediate Level,Female,ClassD,0
70,707,Intermediate Level,Female,ClassD,0
78,783,Beginner Level,Female,ClassD,0
82,825,Intermediate Level,Female,ClassD,1
82,0,Beginner Level,Female,ClassD,1
77,0,Beginner Level,Female,ClassD,0
76,766,Intermediate Level,Female,ClassD,0
84,0,Intermediate Level,Female,ClassD,1
72,725,Expert Level,Female,ClassD,0
73,733,Beginner Level,Female,ClassD,0
63,0,Intermediate Level,Male,ClassA,0
86,863,Intermediate Level,Male,ClassA,1
89,896,Beginner Level,Male,ClassA,1
74,0,Intermediate Level,Male,ClassA,0
46,465,Beginner Level,Male,ClassA,0
60,607,Beginner Level,Male,ClassA,0
85,853,Intermediate Level,Male,ClassA,1
41,412,Intermediate Level,Male,ClassA,0
55,555,Expert Level,Male,ClassA,0
58,586,Beginner Level,Male,ClassA,0
80,0,Intermediate Level,Male,ClassD,0
81,0,Intermediate Level,Male,ClassD,1
63,635,Beginner Level,Male,ClassD,0
69,0,Intermediate Level,Male,ClassD,0
62,0,Beginner Level,Male,ClassD,0
62,626,Beginner Level,Male,ClassD,0
82,823,Intermediate Level,Male,ClassD,1
60,607,Intermediate Level,Male,ClassD,0
51,515,Expert Level,Male,ClassD,0
65,652,Beginner Level,Male,ClassD,0
49,496,Intermediate Level,Male,ClassA,0
50,506,Intermediate Level,Male,ClassA,0
84,0,Beginner Level,Male,ClassA,1
47,474,Intermediate Level,Male,ClassA,0
67,0,Beginner Level,Male,ClassA,0
48,484,Beginner Level,Male,ClassA,0
52,523,Intermediate Level,Male,ClassA,0
51,516,Intermediate Level,Male,ClassA,0
86,0,Expert Level,Male,ClassA,1
54,545,Beginner Level,Male,ClassA,0
88,887,Intermediate Level,Female,ClassD,1
55,556,Intermediate Level,Female,ClassD,0
82,824,Beginner Level,Female,ClassD,1
89,0,Intermediate Level,Female,ClassD,1
83,832,Beginner Level,Female,ClassD,1
50,504,Beginner Level,Female,ClassD,0
74,744,Intermediate Level,Female,ClassD,0
59,592,Intermediate Level,Female,ClassD,0
82,823,Expert Level,Female,ClassD,1
82,823,Beginner Level,Female,ClassD,1
87,874,Intermediate Level,Male,ClassC,1
62,0,Intermediate Level,Male,ClassC,0
71,0,Beginner Level,Male,ClassC,0
97,975,Intermediate Level,Male,ClassC,1
87,0,Beginner Level,Male,ClassC,1
86,0,Beginner Level,Male,ClassC,1
87,873,Intermediate Level,Male,ClassC,1
89,894,Intermediate Level,Male,ClassC,1
68,0,Expert Level,Male,ClassC,0
72,723,Beginner Level,Male,ClassC,0
70,705,Intermediate Level,Male,ClassC,0
66,667,Intermediate Level,Male,ClassC,0
65,653,Beginner Level,Male,ClassC,0
74,743,Intermediate Level,Male,ClassC,0
85,857,Beginner Level,Male,ClassC,1
72,0,Beginner Level,Male,ClassC,0
74,742,Intermediate Level,Male,ClassC,0
63,636,Intermediate Level,Male,ClassC,0
88,885,Expert Level,Male,ClassC,1
85,0,Beginner Level,Male,ClassC,1
85,857,Intermediate Level,Female,ClassC,1
88,0,Intermediate Level,Female,ClassC,1
68,685,Beginner Level,Female,ClassC,0
66,665,Intermediate Level,Female,ClassC,0
63,0,Beginner Level,Female,ClassC,0
88,887,Beginner Level,Female,ClassC,1
86,864,Intermediate Level,Female,ClassC,1
69,697,Intermediate Level,Female,ClassC,0
86,864,Expert Level,Female,ClassC,1
99,994,Beginner Level,Female,ClassC,1
58,585,Intermediate Level,Female,ClassA,0
53,535,Intermediate Level,Female,ClassA,0
83,834,Beginner Level,Female,ClassA,1
43,433,Intermediate Level,Female,ClassA,0
55,554,Beginner Level,Female,ClassA,0
64,645,Beginner Level,Female,ClassA,0
46,466,Intermediate Level,Female,ClassA,0
84,0,Intermediate Level,Female,ClassA,1
70,706,Expert Level,Female,ClassA,0
65,655,Beginner Level,Female,ClassA,0
95,955,Intermediate Level,Male,ClassE,1
91,916,Intermediate Level,Male,ClassE,1
83,834,Beginner Level,Male,ClassE,1
72,723,Intermediate Level,Male,ClassE,0
77,777,Beginner Level,Male,ClassE,0
79,797,Beginner Level,Male,ClassE,0
81,815,Intermediate Level,Male,ClassE,1
76,765,Intermediate Level,Male,ClassE,0
84,843,Expert Level,Male,ClassE,1
72,724,Beginner Level,Male,ClassE,0
49,0,Intermediate Level,Male,ClassB,0
40,0,Intermediate Level,Male,ClassB,0
71,0,Beginner Level,Male,ClassB,0
85,855,Intermediate Level,Male,ClassB,1
72,722,Beginner Level,Male,ClassB,0
89,0,Beginner Level,Male,ClassB,1
77,0,Intermediate Level,Male,ClassB,0
50,506,Intermediate Level,Male,ClassB,0
86,0,Expert Level,Male,ClassB,1
89,895,Beginner Level,Male,ClassB,1
78,784,Intermediate Level,Male,ClassD,0
51,513,Intermediate Level,Male,ClassD,0
63,634,Beginner Level,Male,ClassD,0
67,0,Intermediate Level,Male,ClassD,0
80,0,Beginner Level,Male,ClassD,0
85,856,Beginner Level,Male,ClassD,1
56,565,Intermediate Level,Male,ClassD,0
55,0,Intermediate Level,Male,ClassD,0
86,865,Expert Level,Male,ClassD,1
54,542,Beginner Level,Male,ClassD,0
64,644,Intermediate Level,Male,ClassC,0
62,623,Intermediate Level,Male,ClassC,0
74,745,Beginner Level,Male,ClassC,0
95,0,Intermediate Level,Male,ClassC,1
64,0,Beginner Level,Male,ClassC,0
86,866,Beginner Level,Male,ClassC,1
64,644,Intermediate Level,Male,ClassC,0
67,0,Intermediate Level,Male,ClassC,0
61,0,Expert Level,Male,ClassC,0
70,704,Beginner Level,Male,ClassC,0
51,516,Intermediate Level,Male,ClassA,0
34,0,Intermediate Level,Male,ClassA,0
71,0,Beginner Level,Male,ClassA,0
64,644,Intermediate Level,Male,ClassA,0
49,494,Beginner Level,Male,ClassA,0
61,613,Beginner Level,Male,ClassA,0
49,493,Intermediate Level,Male,ClassA,0
68,687,Intermediate Level,Male,ClassA,0
79,0,Expert Level,Male,ClassA,0
60,0,Beginner Level,Male,ClassA,0
54,543,Intermediate Level,Male,ClassB,0
48,0,Intermediate Level,Male,ClassB,0
77,776,Beginner Level,Male,ClassB,0
51,513,Intermediate Level,Male,ClassB,0
57,576,Beginner Level,Male,ClassB,0
58,585,Beginner Level,Male,ClassB,0
46,463,Intermediate Level,Male,ClassB,0
84,843,Intermediate Level,Male,ClassB,1
89,896,Expert Level,Male,ClassB,1
74,747,Beginner Level,Male,ClassB,0
83,832,Intermediate Level,Male,ClassE,1
95,955,Intermediate Level,Male,ClassE,1
97,0,Beginner Level,Male,ClassE,1
78,0,Intermediate Level,Male,ClassE,0
72,0,Beginner Level,Male,ClassE,0
72,0,Beginner Level,Male,ClassE,0
93,0,Intermediate Level,Male,ClassE,1
85,856,Intermediate Level,Male,ClassE,1
76,766,Expert Level,Male,ClassE,0
78,784,Beginner Level,Male,ClassE,0
76,765,Intermediate Level,Male,ClassD,0
57,574,Intermediate Level,Male,ClassD,0
60,606,Beginner Level,Male,ClassD,0
67,675,Intermediate Level,Male,ClassD,0
59,594,Beginner Level,Male,ClassD,0
60,603,Beginner Level,Male,ClassD,0
72,0,Intermediate Level,Male,ClassD,0
65,656,Intermediate Level,Male,ClassD,0
51,0,Expert Level,Male,ClassD,0
84,843,Beginner Level,Male,ClassD,1
80,807,Intermediate Level,Male,ClassB,0
73,0,Intermediate Level,Male,ClassB,0
83,835,Beginner Level,Male,ClassB,1
82,823,Intermediate Level,Male,ClassB,1
79,796,Beginner Level,Male,ClassB,0
89,897,Beginner Level,Male,ClassB,1
48,482,Intermediate Level,Male,ClassB,0
71,0,Intermediate Level,Male,ClassB,0
90,905,Expert Level,Male,ClassB,1
86,0,Beginner Level,Male,ClassB,1
71,713,Intermediate Level,Male,ClassB,0
95,0,Intermediate Level,Male,ClassB,1
88,0,Beginner Level,Male,ClassB,1
50,505,Intermediate Level,Male,ClassB,0
81,0,Beginner Level,Male,ClassB,1
76,763,Beginner Level,Male,ClassB,0
85,853,Intermediate Level,Male,ClassB,1
59,597,Intermediate Level,Male,ClassB,0
88,885,Expert Level,Male,ClassB,1
78,0,Beginner Level,Male,ClassB,0
65,0,Intermediate Level,Male,ClassA,0
53,533,Intermediate Level,Male,ClassA,0
33,333,Beginner Level,Male,ClassA,0
47,0,Intermediate Level,Male,ClassA,0
74,0,Beginner Level,Male,ClassA,0
44,446,Beginner Level,Male,ClassA,0
62,622,Intermediate Level,Male,ClassA,0
80,802,Intermediate Level,Male,ClassA,0
54,546,Expert Level,Male,ClassA,0
68,0,Beginner Level,Male,ClassA,0
85,857,Intermediate Level,Male,ClassD,1
79,0,Intermediate Level,Male,ClassD,0
74,746,Beginner Level,Male,ClassD,0
61,617,Intermediate Level,Male,ClassD,0
86,862,Beginner Level,Male,ClassD,1
87,0,Beginner Level,Male,ClassD,1
68,685,Intermediate Level,Male,ClassD,0
50,502,Intermediate Level,Male,ClassD,0
51,0,Expert Level,Male,ClassD,0
60,606,Beginner Level,Male,ClassD,0
76,765,Intermediate Level,Female,ClassA,0
88,884,Intermediate Level,Female,ClassA,1
58,0,Beginner Level,Female,ClassA,0
57,572,Intermediate Level,Female,ClassA,0
55,552,Beginner Level,Female,ClassA,0
50,0,Beginner Level,Female,ClassA,0
57,576,Intermediate Level,Female,ClassA,0
49,0,Intermediate Level,Female,ClassA,0
58,0,Expert Level,Female,ClassA,0
74,743,Beginner Level,Female,ClassA,0
68,683,Intermediate Level,Male,ClassD,0
82,822,Intermediate Level,Male,ClassD,1
70,705,Beginner Level,Male,ClassD,0
53,534,Intermediate Level,Male,ClassD,0
82,823,Beginner Level,Male,ClassD,1
80,804,Beginner Level,Male,ClassD,0
52,527,Intermediate Level,Male,ClassD,0
84,0,Intermediate Level,Male,ClassD,1
85,852,Expert Level,Male,ClassD,1
76,766,Beginner Level,Male,ClassD,0
62,624,Intermediate Level,Male,ClassD,0
87,876,Intermediate Level,Male,ClassD,1
56,565,Beginner Level,Male,ClassD,0
63,0,Intermediate Level,Male,ClassD,0
54,0,Beginner Level,Male,ClassD,0
52,525,Beginner Level,Male,ClassD,0
73,736,Intermediate Level,Male,ClassD,0
80,0,Intermediate Level,Male,ClassD,0
71,0,Expert Level,Male,ClassD,0
53,536,Beginner Level,Male,ClassD,0
77,775,Intermediate Level,Male,ClassD,0
89,894,Intermediate Level,Male,ClassD,1
76,766,Beginner Level,Male,ClassD,0
77,0,Intermediate Level,Male,ClassD,0
89,0,Beginner Level,Male,ClassD,1
87,875,Beginner Level,Male,ClassD,1
67,0,Intermediate Level,Male,ClassD,0
74,0,Intermediate Level,Male,ClassD,0
93,0,Expert Level,Male,ClassD,1
77,774,Beginner Level,Male,ClassD,0
86,865,Intermediate Level,Male,ClassE,1
84,844,Intermediate Level,Male,ClassE,1
71,715,Beginner Level,Male,ClassE,0
97,976,Intermediate Level,Male,ClassE,1
89,896,Beginner Level,Male,ClassE,1
86,0,Beginner Level,Male,ClassE,1
71,716,Intermediate Level,Male,ClassE,0
89,895,Intermediate Level,Male,ClassE,1
79,797,Expert Level,Male,ClassE,0
78,0,Beginner Level,Male,ClassE,0
74,0,Intermediate Level,Male,ClassB,0
71,0,Intermediate Level,Male,ClassB,0
55,553,Beginner Level,Male,ClassB,0
76,767,Intermediate Level,Male,ClassB,0
73,733,Beginner Level,Male,ClassB,0
50,0,Beginner Level,Male,ClassB,0
73,732,Intermediate Level,Male,ClassB,0
49,0,Intermediate Level,Male,ClassB,0
82,824,Expert Level,Male,ClassB,1
82,824,Beginner Level,Male,ClassB,1
74,742,Intermediate Level,Male,ClassD,0
50,0,Intermediate Level,Male,ClassD,0
69,694,Beginner Level,Male,ClassD,0
86,862,Intermediate Level,Male,ClassD,1
63,0,Beginner Level,Male,ClassD,0
84,842,Beginner Level,Male,ClassD,1
90,906,Intermediate Level,Male,ClassD,1
87,873,Intermediate Level,Male,ClassD,1
51,513,Expert Level,Male,ClassD,0
75,752,Beginner Level,Male,ClassD,0
48,486,Intermediate Level,Male,ClassA,0
34,0,Intermediate Level,Male,ClassA,0
63,0,Beginner Level,Male,ClassA,0
46,466,Intermediate Level,Male,ClassA,0
62,0,Beginner Level,Male,ClassA,0
57,574,Beginner Level,Male,ClassA,0
65,0,Intermediate Level,Male,ClassA,0
53,0,Intermediate Level,Male,ClassA,0
53,536,Expert Level,Male,ClassA,0
68,0,Beginner Level,Male,ClassA,0
70,705,Intermediate Level,Male,ClassD,0
63,636,Intermediate Level,Male,ClassD,0
71,0,Beginner Level,Male,ClassD,0
66,663,Intermediate Level,Male,ClassD,0
81,812,Beginner Level,Male,ClassD,1
79,796,Beginner Level,Male,ClassD,0
97,977,Intermediate Level,Male,ClassD,1
62,624,Intermediate Level,Male,ClassD,0
51,0,Expert Level,Male,ClassD,0
82,824,Beginner Level,Male,ClassD,1
74,743,Intermediate Level,Male,ClassB,0
43,437,Intermediate Level,Male,ClassB,0
73,737,Beginner Level,Male,ClassB,0
89,894,Intermediate Level,Male,ClassB,1
74,746,Beginner Level,Male,ClassB,0
57,573,Beginner Level,Male,ClassB,0
71,715,Intermediate Level,Male,ClassB,0
53,535,Intermediate Level,Male,ClassB,0
71,0,Expert Level,Male,ClassB,0
49,495,Beginner Level,Male,ClassB,0
72,724,Intermediate Level,Male,ClassB,0
84,843,Intermediate Level,Male,ClassB,1
74,745,Beginner Level,Male,ClassB,0
75,757,Intermediate Level,Male,ClassB,0
51,514,Beginner Level,Male,ClassB,0
85,856,Beginner Level,Male,ClassB,1
79,793,Intermediate Level,Male,ClassB,0
76,763,Intermediate Level,Male,ClassB,0
74,747,Expert Level,Male,ClassB,0
88,885,Beginner Level,Male,ClassB,1
73,735,Intermediate Level,Male,ClassC,0
65,656,Intermediate Level,Male,ClassC,0
70,707,Beginner Level,Male,ClassC,0
60,0,Intermediate Level,Male,ClassC,0
89,0,Beginner Level,Male,ClassC,1
64,646,Beginner Level,Male,ClassC,0
85,855,Intermediate Level,Male,ClassC,1
70,706,Intermediate Level,Male,ClassC,0
64,0,Expert Level,Male,ClassC,0
60,0,Beginner Level,Male,ClassC,0
89,0,Intermediate Level,Male,ClassC,1
74,742,Intermediate Level,Male,ClassC,0
60,605,Beginner Level,Male,ClassC,0
74,746,Intermediate Level,Male,ClassC,0
87,0,Beginner Level,Male,ClassC,1
68,687,Beginner Level,Male,ClassC,0
72,725,Intermediate Level,Male,ClassC,0
68,683,Intermediate Level,Male,ClassC,0
72,725,Expert Level,Male,ClassC,0
95,953,Beginner Level,Male,ClassC,1
52,0,Intermediate Level,Male,ClassA,0
47,476,Intermediate Level,Male,ClassA,0
47,476,Beginner Level,Male,ClassA,0
84,847,Intermediate Level,Male,ClassA,1
37,372,Beginner Level,Male,ClassA,0
89,0,Beginner Level,Male,ClassA,1
47,476,Intermediate Level,Male,ClassA,0
85,856,Intermediate Level,Male,ClassA,1
48,483,Expert Level,Male,ClassA,0
43,0,Beginner Level,Male,ClassA,0
66,663,Intermediate Level,Male,ClassA,0
55,553,Intermediate Level,Male,ClassA,0
70,704,Beginner Level,Male,ClassA,0
54,542,Intermediate Level,Male,ClassA,0
58,584,Beginner Level,Male,ClassA,0
52,526,Beginner Level,Male,ClassA,0
68,686,Intermediate Level,Male,ClassA,0
66,0,Intermediate Level,Male,ClassA,0
66,663,Expert Level,Male,ClassA,0
66,666,Beginner Level,Male,ClassA,0
55,556,Intermediate Level,Male,ClassD,0
56,565,Intermediate Level,Male,ClassD,0
50,0,Beginner Level,Male,ClassD,0
83,836,Intermediate Level,Male,ClassD,1
87,873,Beginner Level,Male,ClassD,1
94,942,Beginner Level,Male,ClassD,1
95,0,Intermediate Level,Male,ClassD,1
74,0,Intermediate Level,Male,ClassD,0
78,786,Expert Level,Male,ClassD,0
76,762,Beginner Level,Male,ClassD,0
80,804,Intermediate Level,Male,ClassB,0
88,887,Intermediate Level,Male,ClassB,1
70,0,Beginner Level,Male,ClassB,0
75,757,Intermediate Level,Male,ClassB,0
83,835,Beginner Level,Male,ClassB,1
71,714,Beginner Level,Male,ClassB,0
72,727,Intermediate Level,Male,ClassB,0
81,812,Intermediate Level,Male,ClassB,1
76,762,Expert Level,Male,ClassB,0
79,794,Beginner Level,Male,ClassB,0
75,0,Intermediate Level,Female,ClassA,0
64,646,Intermediate Level,Female,ClassA,0
50,0,Beginner Level,Female,ClassA,0
75,754,Intermediate Level,Female,ClassA,0
46,0,Beginner Level,Female,ClassA,0
51,517,Beginner Level,Female,ClassA,0
50,507,Intermediate Level,Female,ClassA,0
52,0,Intermediate Level,Female,ClassA,0
66,667,Expert Level,Female,ClassA,0
51,516,Beginner Level,Female,ClassA,0
83,835,Intermediate Level,Female,ClassD,1
